City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,84.18,72,0,16.11,clear sky
1,Cape Town,ZA,-33.9258,18.4232,65.26,84,20,8.05,few clouds
2,Butaritari,KI,3.0707,172.7902,81.41,76,16,13.65,few clouds
3,Eenhana,NA,-17.4667,16.3333,77.41,39,67,5.59,broken clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,70.56,88,58,5.99,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,51.91,46,40,37.98,scattered clouds
6,Kodiak,US,57.79,-152.4072,24.31,68,0,0.0,clear sky
7,Peniche,PT,39.3558,-9.3811,51.3,96,86,15.55,overcast clouds
8,Jamestown,US,42.097,-79.2353,31.71,83,100,23.02,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,37.56,94,100,23.53,light rain
10,Broome,US,42.2506,-75.833,39.85,77,75,13.8,broken clouds
11,Puerto Maldonado,PE,-12.6,-69.1833,79.2,78,0,5.75,clear sky
12,Cidreira,BR,-30.1811,-50.2056,70.59,93,99,15.79,moderate rain
13,Chokurdakh,RU,70.6333,147.9167,0.03,97,100,9.95,light snow
14,Maarianhamina,AX,60.0973,19.9348,37.26,93,100,6.91,overcast clouds
15,Bredasdorp,ZA,-34.5322,20.0403,62.94,80,76,2.68,broken clouds
16,Eau Claire,US,44.8114,-91.4985,18.61,69,0,11.01,clear sky
17,Barrow,US,71.2906,-156.7887,28.42,93,100,8.05,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,73.13,71,82,12.88,broken clouds
19,Sorong,ID,-0.8833,131.25,77.9,89,100,8.19,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,64.09,97,100,16.11,moderate rain
21,Ushuaia,AR,-54.8,-68.3,47.86,61,20,21.85,few clouds
22,Salinopolis,BR,-0.6136,-47.3561,78.87,80,75,7.56,broken clouds
23,Albany,US,42.6001,-73.9662,46.94,79,100,4.0,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,65.17,94,100,1.01,overcast clouds
25,Balkanabat,TM,39.5108,54.3671,46.85,25,100,3.49,overcast clouds
26,Komsomolskiy,UZ,40.4272,71.7189,48.92,66,40,13.8,scattered clouds
27,Tigil,RU,57.8,158.6667,24.49,92,100,6.64,overcast clouds
28,Atuona,PF,-9.8,-139.0333,77.95,74,65,13.2,light rain
